id,name_en,name_id,icd10,category,context_note,symptom_count,red_flag_count,question_count
D30,Tinea (Fungal Skin Infection),"Tinea / Infeksi Jamur Kulit (Panu, Kadas, Kurap)",B35,Dermatological/Infectious,"Very common in Java's hot, humid climate; includes tinea corporis, cruris, pedis, and pityriasis versicolor ('panu').",5,2,7
D31,Urinary Tract Infection,Infeksi Saluran Kemih (ISK),N39.0,Genitourinary,"Common OPD complaint, especially among women; recurrent cases seen with poor hydration/hygiene practices.",6,4,8
D32,Otitis Media,Otitis Media,H66,ENT,"Common, especially in children, often following upper respiratory infections; frequent OPD presentation across Java.",5,4,7
D33,Pharyngitis / Tonsillitis,Faringitis / Tonsilitis,J02 / J03,ENT/Infectious,"Very frequent OPD complaint ('radang tenggorokan'), ranked among top diagnoses at multiple Java puskesmas.",6,3,7
D34,Conjunctivitis,Konjungtivitis (Mata Merah),H10,Ophthalmological,"Common, often viral or bacterial, spreads easily in schools/households; frequent 'mata merah' complaint in OPD.",5,5,8
D35,Malaria,Malaria,B54,Infectious,"Endemic in parts of Java (e.g., southern coastal areas of Central/East Java, Banten) - important differential for fever in relevant areas/travelers.",6,6,7
D36,Chikungunya Fever,Demam Chikungunya,A92.0,Infectious,Mosquito-borne outbreaks occur periodically across Java; often confused clinically with dengue.,7,3,7
D37,Intestinal Worm Infestation (Helminthiasis),Kecacingan,B82,Infectious/Gastrointestinal,"Common especially in children in rural/semi-rural Java, related to sanitation and soil-transmitted helminths (roundworm, whipworm, hookworm).",7,3,7
D38,Leptospirosis,Leptospirosis,A27,Infectious,Notable risk in Java during flooding season (common in Jakarta and other low-lying Java cities); transmitted via rat urine-contaminated water.,6,4,7
D39,Hepatitis A,Hepatitis A,B15,Infectious/Gastrointestinal,Common in areas with limited sanitation infrastructure; periodic outbreaks reported in Java linked to contaminated food/water.,8,3,8
D40,Post-Stroke Follow-up / Chronic Sequelae,Pasca Stroke / Gejala Sisa Kronik,I69,Neurological,Stroke is a leading cause of disability in Indonesia; many OPD visits are follow-up care for known stroke patients managing risk factors and rehabilitation.,7,4,8
