disease_id,disease_name_en,category,question,purpose
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Musculoskeletal,"Have you had any recent injury, unusual physical activity, or repetitive strain?",Identify precipitating trauma/overuse
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Musculoskeletal,"Do you have fever, weight loss, or fatigue along with the pain?",Screen for systemic inflammatory/infectious cause
D08,Myalgia / Non-specific Soft Tissue Pain ('Rematik'),Musculoskeletal,"Do you have a history of gout, high uric acid, or similar episodes before?",Assess for recurrent gout
D09,Acute Diarrhea / Gastroenteritis,Gastrointestinal/Infectious,"How many times a day are you passing loose stools, and since when?",Quantify severity and duration
D09,Acute Diarrhea / Gastroenteritis,Gastrointestinal/Infectious,Is there any blood or mucus in the stool?,Screen for dysentery/invasive infection
D09,Acute Diarrhea / Gastroenteritis,Gastrointestinal/Infectious,"Do you have fever, vomiting, or abdominal cramping?",Assess associated symptoms and severity
D09,Acute Diarrhea / Gastroenteritis,Gastrointestinal/Infectious,"Have you eaten any food or water from a questionable source recently, or eaten out?",Identify likely source/exposure
D09,Acute Diarrhea / Gastroenteritis,Gastrointestinal/Infectious,"Are you able to keep fluids down, and how much are you urinating?",Assess hydration status
D09,Acute Diarrhea / Gastroenteritis,Gastrointestinal/Infectious,Is anyone else at home or nearby with similar symptoms?,Assess for outbreak/common source
D09,Acute Diarrhea / Gastroenteritis,Gastrointestinal/Infectious,Have you traveled recently or taken any antibiotics recently?,Identify travel-related or antibiotic-associated causes
D09,Acute Diarrhea / Gastroenteritis,Gastrointestinal/Infectious,"Do you feel dizzy when standing, or notice a very dry mouth?",Screen for dehydration
D10,HIV Infection,Infectious,Have you been tested for HIV before? What was the result and when?,Establish diagnostic history
D10,HIV Infection,Infectious,"Have you had any risk exposures - unprotected sex, shared needles, blood transfusion?",Assess risk factors (asked with sensitivity and confidentiality)
D10,HIV Infection,Infectious,"Have you had recurrent fevers, weight loss, or night sweats?",Screen for constitutional symptoms of HIV progression
D10,HIV Infection,Infectious,Have you noticed white patches in your mouth or frequent skin infections?,Screen for opportunistic infection signs
D10,HIV Infection,Infectious,Are you currently on antiretroviral therapy (ART)? Are you taking it consistently?,Assess treatment status and adherence
D10,HIV Infection,Infectious,Have you had any cough lasting more than 2 weeks?,"Screen for TB co-infection, common in Indonesia"
D10,HIV Infection,Infectious,Do you have a partner or family member who is HIV positive?,Assess household/partner context and need for partner testing
D11,Pulmonary Tuberculosis,Infectious/Respiratory,"How long have you had a cough, and has it changed in character?",Screen duration - >2 weeks triggers TB workup per national guidelines
D11,Pulmonary Tuberculosis,Infectious/Respiratory,Have you coughed up blood or blood-streaked sputum?,"Assess for hemoptysis, a red flag"
D11,Pulmonary Tuberculosis,Infectious/Respiratory,"Do you have fevers, especially at night, or night sweats?",Classic constitutional TB symptoms
D11,Pulmonary Tuberculosis,Infectious/Respiratory,Have you lost weight recently without trying?,Assess constitutional symptom burden
D11,Pulmonary Tuberculosis,Infectious/Respiratory,Have you been in close contact with anyone diagnosed with TB?,Assess exposure history
D11,Pulmonary Tuberculosis,Infectious/Respiratory,Have you ever been treated for TB before? Did you complete the full course?,Screen for relapse or drug-resistant TB risk
D11,Pulmonary Tuberculosis,Infectious/Respiratory,Do you know your HIV status?,"Assess co-infection risk, affects management urgency"
D11,Pulmonary Tuberculosis,Infectious/Respiratory,"Do you live in a crowded household, or work/live in close quarters with others?",Assess transmission risk environment
D11,Pulmonary Tuberculosis,Infectious/Respiratory,Have you had chest pain or shortness of breath?,Assess pulmonary involvement severity
D12,Dengue Fever / Dengue Hemorrhagic Fever,Infectious,"When did the fever start, and has it been continuous or come and go?",Establish day of illness - critical for dengue phase assessment
D12,Dengue Fever / Dengue Hemorrhagic Fever,Infectious,"Do you have severe headache, pain behind the eyes, or muscle/joint pain?",Classic dengue symptom triad
D12,Dengue Fever / Dengue Hemorrhagic Fever,Infectious,"Have you noticed any rash, bleeding gums, nosebleeds, or unusual bruising?",Screen for warning signs of bleeding tendency
D12,Dengue Fever / Dengue Hemorrhagic Fever,Infectious,Have you had persistent vomiting or severe abdominal pain?,WHO warning sign for progression to severe dengue
D12,Dengue Fever / Dengue Hemorrhagic Fever,Infectious,"Has your fever suddenly gone down, and if so, how are you feeling now?","Assess for critical phase, when plasma leakage risk is highest"
D12,Dengue Fever / Dengue Hemorrhagic Fever,Infectious,Has anyone in your neighborhood or household recently had dengue?,Assess local outbreak exposure
D12,Dengue Fever / Dengue Hemorrhagic Fever,Infectious,"How much are you able to drink, and how often are you urinating?",Assess hydration and early shock signs
D12,Dengue Fever / Dengue Hemorrhagic Fever,Infectious,Have you had dengue before?,Prior infection raises risk of more severe secondary dengue
D13,Typhoid Fever,Infectious,"How long have you had fever, and does it tend to rise through the day/week?",Typhoid classically shows a stepwise fever pattern over days
D13,Typhoid Fever,Infectious,"Do you have abdominal pain, constipation, or diarrhea?",Assess GI involvement
D13,Typhoid Fever,Infectious,Have you eaten food from street vendors or unclean water sources recently?,Identify likely exposure source
D13,Typhoid Fever,Infectious,"Do you have a headache, loss of appetite, or generally feel very unwell?",Assess constitutional symptom severity
D13,Typhoid Fever,Infectious,Has anyone around you had a similar prolonged fever recently?,Assess for common-source outbreak
D13,Typhoid Fever,Infectious,Have you taken any antibiotics already for this illness?,"Assess partial treatment, may affect test results and choice of therapy"
D13,Typhoid Fever,Infectious,Have you had typhoid fever before?,Assess for relapse or chronic carrier state
D13,Typhoid Fever,Infectious,Do you have severe abdominal pain or notice blood in your stool?,Screen for intestinal perforation/bleeding - a surgical emergency
D14,Bronchial Asthma,Respiratory,"How often do you experience wheezing, breathlessness, or chest tightness?",Assess symptom frequency for control classification
D14,Bronchial Asthma,Respiratory,"Do symptoms wake you up at night, and how often?",Nocturnal symptoms indicate poor control
D14,Bronchial Asthma,Respiratory,"What triggers your symptoms - exercise, cold air, dust, smoke, or specific allergens?",Identify triggers for avoidance counseling
D14,Bronchial Asthma,Respiratory,"Do you or does anyone in your family have a history of asthma, eczema, or allergies?",Assess atopic predisposition
D14,Bronchial Asthma,Respiratory,"Are you currently using any inhalers? How often, and do you use a reliever or controller inhaler?",Assess current management and technique needs
D14,Bronchial Asthma,Respiratory,How many times have you needed emergency treatment or hospitalization for breathing problems?,Assess severity and prior exacerbation history
D14,Bronchial Asthma,Respiratory,Does your breathlessness limit your daily activities or work?,Assess functional impact/control
D14,Bronchial Asthma,Respiratory,"Do you smoke, or are you exposed to smoke/biomass fuel at home?",Identify aggravating exposures
D15,Community-Acquired Pneumonia,Respiratory/Infectious,"How long have you had cough and fever, and is the cough productive?",Establish onset and character
D15,Community-Acquired Pneumonia,Respiratory/Infectious,"What color is the sputum, and have you coughed up any blood?",Assess for bacterial infection or complications
D15,Community-Acquired Pneumonia,Respiratory/Infectious,Do you have chest pain that worsens with breathing or coughing?,Screen for pleuritic involvement
D15,Community-Acquired Pneumonia,Respiratory/Infectious,"Are you breathing faster than usual, or feeling short of breath at rest?",Assess severity/respiratory compromise
D15,Community-Acquired Pneumonia,Respiratory/Infectious,"Do you have any chronic lung disease, heart disease, diabetes, or are you elderly/very young?",Identify risk factors for severe disease
D15,Community-Acquired Pneumonia,Respiratory/Infectious,"Have you felt confused, extremely weak, or unable to carry out normal activities?",Screen for severity markers requiring hospitalization
D15,Community-Acquired Pneumonia,Respiratory/Infectious,Have you had a flu or COVID-like illness recently before these symptoms started?,Identify possible viral precursor/co-infection
D16,Gastritis / Peptic Ulcer Disease,Gastrointestinal,"Where is the pain located, and does eating make it better or worse?",Differentiate gastric vs duodenal ulcer pattern
D16,Gastritis / Peptic Ulcer Disease,Gastrointestinal,"How long have you had this pain, and is it a new problem or recurring?",Assess chronicity
D16,Gastritis / Peptic Ulcer Disease,Gastrointestinal,"Do you take NSAIDs (like ibuprofen), aspirin, or steroids regularly?","Identify mucosal irritant use, major risk factor"
D16,Gastritis / Peptic Ulcer Disease,Gastrointestinal,"Have you vomited blood, or noticed black/tarry stools?",Screen for GI bleeding - red flag
D16,Gastritis / Peptic Ulcer Disease,Gastrointestinal,Do you smoke or drink alcohol or coffee frequently?,Identify contributing irritants
D16,Gastritis / Peptic Ulcer Disease,Gastrointestinal,"Have you been diagnosed with H. pylori infection before, or has anyone in your family had stomach ulcers or stomach cancer?",Assess infectious/familial risk
D16,Gastritis / Peptic Ulcer Disease,Gastrointestinal,Have you lost weight unintentionally or had difficulty swallowing?,Screen for alarm features requiring endoscopy referral
D17,Gastroesophageal Reflux Disease (GERD),Gastrointestinal,Do you feel a burning sensation rising from your stomach to your chest or throat?,Confirm classic heartburn symptom
D17,Gastroesophageal Reflux Disease (GERD),Gastrointestinal,"Are symptoms worse after eating, lying down, or bending over?",Confirm positional/postprandial reflux pattern
D17,Gastroesophageal Reflux Disease (GERD),Gastrointestinal,"Do you have a sour or bitter taste in your mouth, especially in the morning?",Confirm regurgitation symptom
D17,Gastroesophageal Reflux Disease (GERD),Gastrointestinal,Do you have any difficulty or pain when swallowing food?,Screen for alarm feature (possible stricture/malignancy)
D17,Gastroesophageal Reflux Disease (GERD),Gastrointestinal,"Have you noticed a chronic cough, hoarseness, or throat clearing?",Screen for extra-esophageal GERD manifestations
D17,Gastroesophageal Reflux Disease (GERD),Gastrointestinal,"What is your typical diet like - fatty, spicy, or large late-night meals?",Identify dietary triggers
D17,Gastroesophageal Reflux Disease (GERD),Gastrointestinal,"Have you gained weight recently, and do you smoke?",Identify modifiable risk factors
D17,Gastroesophageal Reflux Disease (GERD),Gastrointestinal,Could this chest discomfort be related to your heart - do you have exertional chest pain?,Rule out cardiac cause of chest symptoms
D18,Osteoarthritis,Musculoskeletal,"Which joints are affected, and is the pain worse with activity or at rest?",Confirm mechanical pattern typical of OA
D18,Osteoarthritis,Musculoskeletal,How long does morning stiffness last?,Differentiate OA (<30 min) from inflammatory arthritis (>1 hour)
D18,Osteoarthritis,Musculoskeletal,Do you hear or feel grinding/clicking in the joint when you move it?,"Assess for crepitus, supportive of OA"
D18,Osteoarthritis,Musculoskeletal,"How long have you had these symptoms, and are they getting progressively worse?",Assess chronicity and progression
D18,Osteoarthritis,Musculoskeletal,"Does the joint pain limit your daily activities, walking, or work?",Assess functional impact
D18,Osteoarthritis,Musculoskeletal,"What is your weight and activity/occupation history (e.g., heavy lifting, prolonged standing)?",Assess mechanical risk factors
D18,Osteoarthritis,Musculoskeletal,Have you had any previous joint injury or surgery?,Identify secondary OA risk factors
D18,Osteoarthritis,Musculoskeletal,"Is there any redness, warmth, or swelling that came on suddenly?",Rule out an acute inflammatory or infectious process
D19,Gout / Hyperuricemia,Musculoskeletal/Metabolic,"Which joint is affected, and did the pain come on suddenly, often overnight?","Classic acute gout presentation, especially first MTP joint"
D19,Gout / Hyperuricemia,Musculoskeletal/Metabolic,Have you had similar episodes before? How often?,Assess recurrence pattern
D19,Gout / Hyperuricemia,Musculoskeletal/Metabolic,Have you had a uric acid blood test before? What was the level?,Establish biochemical confirmation
D19,Gout / Hyperuricemia,Musculoskeletal/Metabolic,"What foods do you eat regularly - organ meats, seafood, melinjo/emping, alcohol (especially beer)?",Identify dietary purine triggers
D19,Gout / Hyperuricemia,Musculoskeletal/Metabolic,Do you have fever or feel systemically unwell along with the joint pain?,Screen for septic arthritis as differential
D19,Gout / Hyperuricemia,Musculoskeletal/Metabolic,"Are you currently taking any uric-acid-lowering medication (e.g., allopurinol)? Are you taking it regularly?","Assess adherence, note starting/stopping can trigger flares"
D19,Gout / Hyperuricemia,Musculoskeletal/Metabolic,Do you have kidney disease or take diuretics?,Identify factors that raise uric acid/reduce excretion
D19,Gout / Hyperuricemia,Musculoskeletal/Metabolic,Have you noticed any hard lumps under the skin near your joints?,Screen for tophi indicating chronic gout
D20,Rheumatoid Arthritis,Musculoskeletal/Autoimmune,"Which joints are affected, and are both sides of the body involved symmetrically?",Symmetric small joint involvement is characteristic of RA
D20,Rheumatoid Arthritis,Musculoskeletal/Autoimmune,How long does your morning stiffness last?,>1 hour supports inflammatory arthritis over OA
D20,Rheumatoid Arthritis,Musculoskeletal/Autoimmune,"How long have you had these symptoms - weeks, months, or longer?",Assess chronicity for diagnostic criteria
D20,Rheumatoid Arthritis,Musculoskeletal/Autoimmune,"Do you have fatigue, low-grade fever, or unintentional weight loss?",Assess systemic inflammatory features
D20,Rheumatoid Arthritis,Musculoskeletal/Autoimmune,Does anyone in your family have rheumatoid arthritis or other autoimmune disease?,Assess familial risk
D20,Rheumatoid Arthritis,Musculoskeletal/Autoimmune,Have you noticed any joint deformity or difficulty with fine hand movements?,Assess disease progression/functional impact
D20,Rheumatoid Arthritis,Musculoskeletal/Autoimmune,"Have you had any skin rashes, dry eyes/mouth, or other symptoms besides joint pain?",Screen for overlapping autoimmune features
D21,Tension-Type Headache / Migraine,Neurological,"Can you describe the pain - is it a tight band-like pressure, or throbbing/pulsating?",Differentiate tension-type from migraine pattern
D21,Tension-Type Headache / Migraine,Neurological,Is the pain on one side or both sides of the head?,Migraine often unilateral; tension usually bilateral
D21,Tension-Type Headache / Migraine,Neurological,"Do you have nausea, vomiting, or sensitivity to light/sound with the headache?",Supports migraine diagnosis
D21,Tension-Type Headache / Migraine,Neurological,"How often do these headaches occur, and how long do they last?",Assess frequency for chronic vs episodic classification
D21,Tension-Type Headache / Migraine,Neurological,"Did this headache come on suddenly and severely, unlike your usual headaches?",Screen for red-flag 'thunderclap' headache
D21,Tension-Type Headache / Migraine,Neurological,"Do you have fever, neck stiffness, vision changes, weakness, or confusion?","Screen for secondary/dangerous causes (meningitis, stroke, mass)"
D21,Tension-Type Headache / Migraine,Neurological,"What seems to trigger your headaches - stress, lack of sleep, certain foods, menstrual cycle?",Identify trigger pattern for management
D21,Tension-Type Headache / Migraine,Neurological,How often do you take painkillers for headaches?,Screen for medication-overuse headache
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Neurological/ENT,"Does the room spin, or do you feel more like you're going to faint/lightheaded?",Distinguish true vertigo from presyncope
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Neurological/ENT,"What triggers the spinning sensation - specific head movements or position changes (rolling in bed, looking up)?",Screen for BPPV pattern
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Neurological/ENT,"How long does each episode last - seconds, minutes, or hours?",BPPV episodes are typically brief (<1 minute)
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Neurological/ENT,"Do you have any hearing loss, ringing in the ears, or ear fullness?",Screen for Meniere's disease or other inner ear pathology
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Neurological/ENT,"Have you had any weakness, slurred speech, double vision, or difficulty walking along with the dizziness?",Screen for central (stroke-related) cause - red flag
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Neurological/ENT,Do you have nausea or vomiting with the episodes?,Assess associated autonomic symptoms
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Neurological/ENT,"Have you had similar episodes before, and did they resolve on their own?",Assess recurrence and course
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Neurological/ENT,"Do you have high blood pressure, diabetes, or heart disease?",Assess vascular risk factors relevant to central causes
D23,Non-specific Low Back Pain,Musculoskeletal,"When did the pain start, and was there a specific triggering event (lifting, injury, prolonged activity)?",Identify mechanical trigger
D23,Non-specific Low Back Pain,Musculoskeletal,"Does the pain radiate down your leg, and is there any numbness, tingling, or weakness?",Screen for nerve root involvement (sciatica)
D23,Non-specific Low Back Pain,Musculoskeletal,"Have you had any loss of bladder or bowel control, or numbness in the groin area?",Screen for cauda equina syndrome - surgical emergency
D23,Non-specific Low Back Pain,Musculoskeletal,Is the pain worse at night or unrelieved by rest?,"Red flag for infection, malignancy, or inflammatory cause"
D23,Non-specific Low Back Pain,Musculoskeletal,"Do you have fever, unexplained weight loss, or a history of cancer?",Screen for serious underlying pathology
D23,Non-specific Low Back Pain,Musculoskeletal,"What is your occupation, and does it involve heavy lifting or prolonged sitting/standing?",Identify occupational contributing factors
D23,Non-specific Low Back Pain,Musculoskeletal,Have you had similar back pain episodes before?,Assess recurrence pattern
D23,Non-specific Low Back Pain,Musculoskeletal,What movements or positions make the pain better or worse?,Assess mechanical pattern to guide management
D24,Iron Deficiency Anemia,Hematological,"How long have you felt tired, weak, or short of breath?",Establish onset/chronicity
D24,Iron Deficiency Anemia,Hematological,For women: are your menstrual periods heavy or prolonged?,Identify major cause of iron deficiency in reproductive-age women
D24,Iron Deficiency Anemia,Hematological,"Have you noticed any blood in your stool, or black tarry stools?",Screen for occult GI blood loss
D24,Iron Deficiency Anemia,Hematological,"What does your typical diet look like - do you eat meat, iron-rich vegetables regularly?",Assess dietary iron intake
D24,Iron Deficiency Anemia,Hematological,Are you currently pregnant or breastfeeding?,Assess increased iron demand states
D24,Iron Deficiency Anemia,Hematological,"Do you have any craving for unusual substances like ice, dirt, or starch?","Screen for pica, a classic iron-deficiency symptom"
D24,Iron Deficiency Anemia,Hematological,Have you had worm infestation or lived in an area where this is common?,"Assess for hookworm-related blood loss, relevant in rural Java"
D24,Iron Deficiency Anemia,Hematological,Have you had this checked before (hemoglobin/blood test)?,Establish prior diagnostic history
D25,Chronic Kidney Disease,Renal,"Do you have a history of diabetes or hypertension, and how well controlled are they?",Identify the two leading causes of CKD
D25,Chronic Kidney Disease,Renal,"Have you noticed any swelling in your legs, face, or around your eyes?",Assess for fluid retention
D25,Chronic Kidney Disease,Renal,"Have you noticed foamy/frothy urine, or a change in how much you urinate?",Screen for proteinuria and renal function changes
D25,Chronic Kidney Disease,Renal,"Do you take painkillers (NSAIDs) frequently, or any herbal/jamu remedies regularly?",Identify nephrotoxic exposures common in self-medication practices
D25,Chronic Kidney Disease,Renal,Do you have a family history of kidney disease?,"Assess genetic risk (e.g., polycystic kidney disease)"
D25,Chronic Kidney Disease,Renal,"Have you had any previous blood tests showing kidney problems (creatinine, eGFR)?",Establish prior diagnostic history/staging
D25,Chronic Kidney Disease,Renal,"Do you feel unusually tired, itchy, or have poor appetite?",Screen for uremic symptoms
D25,Chronic Kidney Disease,Renal,"Have you ever had kidney stones, urinary infections, or blockage problems?",Identify structural/obstructive contributing causes
D26,Chronic Obstructive Pulmonary Disease (COPD),Respiratory,"Do you have a long-standing cough with phlegm, and for how many years?",Assess chronic bronchitis pattern (cough >3 months/year for 2+ years)
D26,Chronic Obstructive Pulmonary Disease (COPD),Respiratory,"Do you smoke, or have you smoked in the past? How many years/packs?",Major risk factor assessment
D26,Chronic Obstructive Pulmonary Disease (COPD),Respiratory,"Are you exposed to cooking smoke from wood/biomass fuel, or workplace dust/fumes?",Identify non-smoking risk factors relevant in rural Java households
D26,Chronic Obstructive Pulmonary Disease (COPD),Respiratory,"How far can you walk before feeling breathless, and has this changed over time?",Assess functional severity/progression
D26,Chronic Obstructive Pulmonary Disease (COPD),Respiratory,How many times in the past year have you had a flare-up needing extra medication or hospital visits?,Assess exacerbation frequency for severity classification
D26,Chronic Obstructive Pulmonary Disease (COPD),Respiratory,Have you had a diagnosis of asthma in childhood?,Assess for asthma-COPD overlap
D26,Chronic Obstructive Pulmonary Disease (COPD),Respiratory,"Are you currently using any inhalers, and do you know how to use them correctly?",Assess treatment and technique
