disease_id,disease_name_en,symptom
D26,Chronic Obstructive Pulmonary Disease (COPD),Reduced exercise tolerance
D27,Allergic Rhinitis,Recurrent sneezing
D27,Allergic Rhinitis,Clear runny nose
D27,Allergic Rhinitis,Nasal congestion
D27,Allergic Rhinitis,Itchy nose/eyes/throat
D27,Allergic Rhinitis,Watery eyes
D27,Allergic Rhinitis,Post-nasal drip
D27,Allergic Rhinitis,Symptoms triggered by specific exposures
D28,Atopic/Contact Dermatitis,Itchy skin (pruritus)
D28,Atopic/Contact Dermatitis,Redness/erythema
D28,Atopic/Contact Dermatitis,"Dry, scaly patches"
D28,Atopic/Contact Dermatitis,Vesicles/oozing in acute phase
D28,Atopic/Contact Dermatitis,Thickened skin (lichenification) in chronic cases
D28,Atopic/Contact Dermatitis,Distribution often in flexural areas (atopic) or contact sites
D29,Scabies,"Intense itching, especially at night"
D29,Scabies,"Small papules/burrows, often between fingers, wrists, groin"
D29,Scabies,Excoriation from scratching
D29,Scabies,Similar symptoms in close contacts/family members
D30,Tinea (Fungal Skin Infection),"Itchy, ring-shaped rash with central clearing"
D30,Tinea (Fungal Skin Infection),Scaling/flaking skin
D30,Tinea (Fungal Skin Infection),Redness at active border
D30,Tinea (Fungal Skin Infection),Discoloration patches (for pityriasis versicolor)
D30,Tinea (Fungal Skin Infection),Worse in skin folds/sweaty areas
D31,Urinary Tract Infection,Burning/pain on urination (dysuria)
D31,Urinary Tract Infection,Increased urinary frequency
D31,Urinary Tract Infection,Urgency
D31,Urinary Tract Infection,Lower abdominal/suprapubic pain
D31,Urinary Tract Infection,Cloudy or foul-smelling urine
D31,Urinary Tract Infection,Occasionally blood in urine
D32,Otitis Media,Ear pain
D32,Otitis Media,Reduced hearing/sense of fullness
D32,Otitis Media,Fever
D32,Otitis Media,Ear discharge (if perforated)
D32,Otitis Media,"In infants: irritability, ear-pulling, poor feeding"
D33,Pharyngitis / Tonsillitis,Sore throat
D33,Pharyngitis / Tonsillitis,Pain on swallowing
D33,Pharyngitis / Tonsillitis,Fever
D33,Pharyngitis / Tonsillitis,Swollen/tender neck lymph nodes
D33,Pharyngitis / Tonsillitis,"Red/swollen tonsils, possibly with white patches"
D33,Pharyngitis / Tonsillitis,Bad breath
D34,Conjunctivitis,Red eye(s)
D34,Conjunctivitis,"Discharge (watery, mucoid, or purulent)"
D34,Conjunctivitis,Itching or gritty sensation
D34,Conjunctivitis,Eyelids stuck together on waking (bacterial)
D34,Conjunctivitis,Mild light sensitivity
D35,Malaria,Cyclical high fever with chills/rigors
D35,Malaria,Sweating after fever breaks
D35,Malaria,Headache
D35,Malaria,Muscle aches
D35,Malaria,Fatigue
D35,Malaria,Nausea/vomiting
D36,Chikungunya Fever,Sudden high fever
D36,Chikungunya Fever,"Severe joint pain (often symmetric, hands/feet/knees)"
D36,Chikungunya Fever,Joint swelling
D36,Chikungunya Fever,Muscle pain
D36,Chikungunya Fever,Rash
D36,Chikungunya Fever,Headache
D36,Chikungunya Fever,Fatigue that can persist for weeks
D37,Intestinal Worm Infestation (Helminthiasis),Abdominal pain
D37,Intestinal Worm Infestation (Helminthiasis),Bloating
D37,Intestinal Worm Infestation (Helminthiasis),Poor appetite
D37,Intestinal Worm Infestation (Helminthiasis),Weight loss/poor growth in children
D37,Intestinal Worm Infestation (Helminthiasis),"Itchy anus (especially pinworm, worse at night)"
D37,Intestinal Worm Infestation (Helminthiasis),Visible worms in stool
D37,Intestinal Worm Infestation (Helminthiasis),Fatigue/pallor (from blood loss with hookworm)
D38,Leptospirosis,Sudden fever with chills
D38,Leptospirosis,Severe headache
D38,Leptospirosis,Muscle pain (especially calves)
D38,Leptospirosis,Red eyes (conjunctival suffusion)
D38,Leptospirosis,Nausea/vomiting
D38,Leptospirosis,Occasionally jaundice or rash
D39,Hepatitis A,Fatigue
D39,Hepatitis A,Nausea/vomiting
D39,Hepatitis A,Loss of appetite
D39,Hepatitis A,Low-grade fever
D39,Hepatitis A,Abdominal discomfort (right upper quadrant)
D39,Hepatitis A,Jaundice (yellowing of skin/eyes)
D39,Hepatitis A,Dark urine
D39,Hepatitis A,Pale stools
D40,Post-Stroke Follow-up / Chronic Sequelae,Residual weakness (hemiparesis)
D40,Post-Stroke Follow-up / Chronic Sequelae,Speech difficulty
D40,Post-Stroke Follow-up / Chronic Sequelae,Difficulty swallowing
D40,Post-Stroke Follow-up / Chronic Sequelae,Cognitive/memory changes
D40,Post-Stroke Follow-up / Chronic Sequelae,Mood changes (post-stroke depression)
D40,Post-Stroke Follow-up / Chronic Sequelae,Spasticity
D40,Post-Stroke Follow-up / Chronic Sequelae,Balance/gait difficulty
