disease_id,disease_name_en,red_flag
D17,Gastroesophageal Reflux Disease (GERD),Difficulty or pain swallowing (dysphagia/odynophagia)
D17,Gastroesophageal Reflux Disease (GERD),Unintentional weight loss
D17,Gastroesophageal Reflux Disease (GERD),Vomiting blood
D17,Gastroesophageal Reflux Disease (GERD),Chest pain that could mimic cardiac origin
D18,Osteoarthritis,Joint pain with fever/redness (rule out septic arthritis)
D18,Osteoarthritis,Sudden inability to bear weight
D18,Osteoarthritis,Significant deformity after trauma
D19,Gout / Hyperuricemia,Fever with joint swelling (rule out septic arthritis)
D19,Gout / Hyperuricemia,Multiple joints involved with systemic symptoms
D19,Gout / Hyperuricemia,Tophi with skin ulceration/discharge
D20,Rheumatoid Arthritis,"Severe systemic symptoms (fever, weight loss)"
D20,Rheumatoid Arthritis,"Signs of vasculitis (skin ulcers, nerve symptoms)"
D20,Rheumatoid Arthritis,Sudden neck pain with neurological symptoms (cervical spine involvement)
D21,Tension-Type Headache / Migraine,"'Worst headache of life', sudden thunderclap onset"
D21,Tension-Type Headache / Migraine,Fever with neck stiffness (meningitis concern)
D21,Tension-Type Headache / Migraine,Focal neurological deficit
D21,Tension-Type Headache / Migraine,Headache with vomiting and altered consciousness
D21,Tension-Type Headache / Migraine,New headache pattern in patient >50 years
D21,Tension-Type Headache / Migraine,Headache after head trauma
D22,Vertigo (Benign Paroxysmal Positional Vertigo),"Sudden severe vertigo with new neurological symptoms (weakness, slurred speech, double vision, difficulty walking)"
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Vertigo with severe headache
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Hearing loss with vertigo (consider vestibular emergency)
D22,Vertigo (Benign Paroxysmal Positional Vertigo),Inability to walk unassisted
D23,Non-specific Low Back Pain,Pain radiating down the leg with numbness/weakness (possible nerve compression)
D23,Non-specific Low Back Pain,Loss of bladder/bowel control (cauda equina - emergency)
D23,Non-specific Low Back Pain,Fever with back pain (possible infection)
D23,Non-specific Low Back Pain,History of trauma or cancer
D23,Non-specific Low Back Pain,Pain worse at night/unrelieved by rest
D23,Non-specific Low Back Pain,Unexplained weight loss
D24,Iron Deficiency Anemia,"Severe symptomatic anemia (chest pain, severe breathlessness)"
D24,Iron Deficiency Anemia,"Signs of active GI bleeding (melena, hematemesis)"
D24,Iron Deficiency Anemia,Heavy vaginal bleeding
D25,Chronic Kidney Disease,Very low urine output/anuria
D25,Chronic Kidney Disease,Severe shortness of breath (fluid overload)
D25,Chronic Kidney Disease,Confusion (uremic encephalopathy)
D25,Chronic Kidney Disease,Chest pain (pericarditis)
D26,Chronic Obstructive Pulmonary Disease (COPD),Severe acute breathlessness (exacerbation)
D26,Chronic Obstructive Pulmonary Disease (COPD),Cyanosis
D26,Chronic Obstructive Pulmonary Disease (COPD),Confusion (possible hypercapnia)
D26,Chronic Obstructive Pulmonary Disease (COPD),Chest pain suggestive of cardiac event
D26,Chronic Obstructive Pulmonary Disease (COPD),Coughing large amounts of blood
D27,Allergic Rhinitis,Symptoms with facial pain/swelling and fever (possible sinusitis)
D27,Allergic Rhinitis,Unilateral nasal symptoms with bleeding (rule out structural/other cause)
D28,Atopic/Contact Dermatitis,"Signs of secondary bacterial infection (pus, spreading redness, fever)"
D28,Atopic/Contact Dermatitis,Widespread severe skin involvement
D28,Atopic/Contact Dermatitis,Facial/eye involvement affecting vision
D29,Scabies,"Widespread crusted lesions (possible crusted/Norwegian scabies, seen in immunocompromised)"
D29,Scabies,"Signs of secondary bacterial infection (pus, fever, spreading cellulitis)"
D30,Tinea (Fungal Skin Infection),Signs of extensive/refractory infection in an immunocompromised patient
D30,Tinea (Fungal Skin Infection),Signs of secondary bacterial infection
D31,Urinary Tract Infection,Fever with flank/back pain and vomiting (possible pyelonephritis)
D31,Urinary Tract Infection,"Signs of sepsis (confusion, low blood pressure)"
D31,Urinary Tract Infection,Pregnancy with UTI symptoms
D31,Urinary Tract Infection,Male with recurrent UTI (may indicate structural abnormality)
D32,Otitis Media,Severe swelling/tenderness behind the ear (mastoiditis)
D32,Otitis Media,Facial weakness
D32,Otitis Media,High fever with lethargy/neck stiffness (possible meningitis)
D32,Otitis Media,Severe headache with vomiting
D33,Pharyngitis / Tonsillitis,Difficulty breathing or swallowing saliva (drooling)
D33,Pharyngitis / Tonsillitis,Muffled ('hot potato') voice with severe throat pain (possible peritonsillar abscess/epiglottitis)
D33,Pharyngitis / Tonsillitis,Severe neck swelling/stiffness
D34,Conjunctivitis,Severe eye pain
D34,Conjunctivitis,Vision loss or significant blurring
D34,Conjunctivitis,Photophobia with headache (possible more serious eye/CNS condition)
D34,Conjunctivitis,History of trauma or foreign body
D34,Conjunctivitis,Contact lens wearer with red painful eye (risk of keratitis)
D35,Malaria,Altered consciousness/confusion (cerebral malaria)
D35,Malaria,Jaundice
D35,Malaria,"Severe anemia (pallor, breathlessness)"
D35,Malaria,Dark urine
D35,Malaria,Seizures
D35,Malaria,Signs of shock
D36,Chikungunya Fever,"Signs of dengue co-infection (bleeding, warning signs)"
D36,Chikungunya Fever,Severe dehydration
D36,Chikungunya Fever,Neurological symptoms (rare but reported)
D37,Intestinal Worm Infestation (Helminthiasis),"Signs of intestinal obstruction (severe pain, vomiting, no bowel movement/gas)"
D37,Intestinal Worm Infestation (Helminthiasis),Severe anemia symptoms
D37,Intestinal Worm Infestation (Helminthiasis),Signs of malnutrition/failure to thrive in a child
D38,Leptospirosis,Jaundice with abdominal pain (possible Weil's disease - hepatic/renal involvement)
D38,Leptospirosis,Decreased urine output
D38,Leptospirosis,Difficulty breathing or coughing blood (pulmonary hemorrhage)
D38,Leptospirosis,Signs of bleeding
D39,Hepatitis A,"Signs of acute liver failure (confusion, severe jaundice, bleeding tendency)"
D39,Hepatitis A,Persistent vomiting/inability to keep fluids down
D39,Hepatitis A,Severe abdominal pain
D40,Post-Stroke Follow-up / Chronic Sequelae,"New sudden weakness, facial droop, or speech difficulty (possible new stroke/TIA - emergency)"
D40,Post-Stroke Follow-up / Chronic Sequelae,Sudden severe headache
D40,Post-Stroke Follow-up / Chronic Sequelae,New seizures
D40,Post-Stroke Follow-up / Chronic Sequelae,"Signs of aspiration (choking, recurrent pneumonia)"
